Domande,Risposte
Per andare a sciare che posti mi consigli?,"I migliori posti per andare a sciare in Piemonte sono: 
- Vialattea, che è senza dubbio il primo consiglio utile. Copre la località di Cesana Torinese, Sestriere, Sauze d'Oulx, Sansicario, Claviere e la francese Montgenevre è il più esteso del Piemonte e uno dei più grandi dell'intero arco alpino. 
- Mondole Ski, che unisce le ski area di Frabosa Soprana, Prato Nevoso ed Artesina. Con 35 euro di skipass giornaliero si può spaziare su quasi 100 chilometri di piste. 
- Alagna Valsesia, che fa rima con freeride e i 3275 metri di Punta Indren, raggiungibili in funivia e senza piste battute, sono la patria nostrana dello sci fuoripista. 
- Bardonecchia, che è l'ultimo paese prima del Frejus, offre due diverse skiarea, lo Jafferau più piccolo, ma con piste a quote più elevate, fino a 2800 metri e il Melezet più ampio che collega anche le frazioni di Colomion e Les Arnauds. 
- San Domenico di Varzo, che è la più dinamica delle ski area del Piemonte. 
- Macugnaga Monterosa, con due ski area non modernissime, ma una di queste, il Monte Moro, ha una vista indimenticabile sulla parete est del Monte Rosa. 
- Prali, infine, è un caso più unico che raro nel panorama sciistico italiano. La sua particolarità è nella gestione particolarmente flessibile che consente di aprire piste anche fuori stagione, basta che ci sia neve. 
- Limone Piemonte, nei pressi del Colle Tenda, sulla via che porta da Cuneo verso Ventimiglia, è una delle migliori ski area piemontesi con 17 impianti che servono 41 piste per ogni esigenza."
Che posti mi consigli per andare a mangiare in qualche rifugio?,"I migliori rifugi in Piemonte per mangiare e anche per una bella camminata sono: 
il Rifugio Santa Pulenta (Locana), Rifugio Arlaud (Monfol), Rifugio Fontana Mura (Forno di Coazze), Rifugio i Re Magi (Bardonecchia), Rifugio le Fonti Minerali (Ceresole), Rifugio Città di Ciriè (Balme), Rifugio Amprimo (San Giorio di Susa), Rifugio Daviso (Forno Alpi Graie), Rifugio Barant (Bobbio Pellice). 
Invece i migliori posti per mangiare in provincia di Cuneo sono: Rifugio della Pace, Rifugio esccursionistico di Caprauna, Locanda del Sorriso, Baita del Verde by Barmas, The White House, Chalet Morel, Baita Pian Croesio, Nuovo Rifugio Pian Munè, Rifugio Alpino Meira Garneri, Rifugio Dahu de Sabarnui. 
Mentre i migliori posti in montagna dove mangiare e dormire sono: La casetta del Gad, Agriturismo Il Fiocco, Agriturismo Le Miandette, Grande Albergo Rocciamelone, Cantina degli Alpini, Polentaria La Ramasse, Trattoria La Placette, Agriturismo Agrifoglio, Albergo Montagna di Luce, Trattoria Ramo Verde, Ristorante Montagnards, Reis Cibo Libero di Montagna, Cantina Alpina, Chalet sul lago, Mulìn Turcìn. 
Se vuoi camminare o dormire chiedimi per approfondimenti!"
Quali sono i migliori posti per fare parapendio in montagna?,"Se vuoi fare parapendio ti consiglio i primi 5 seguenti posti: 
- Hike and Fly To Vigezzo vicino a Prestinone, distanza 5,07km, ascesa + 1046 m, TrailRank 29, tempo impiegato 1h e 30 minuti. 
- Colletto Pissuosa vicino a Tetti Colletto, distanza 2,80km, ascesa + 451m, TrailRank 20.
- Volo in Tandem con Parapendio vicino a Chiavolino, distanza 6,92km, ascesa + 13m, TrailRank 16.
- Hike & Fly Masera/Alom 2014-10-20-12-24-05 vicino a Bondolo, distanza 8,96km, ascesa + 1575m TrailRank 36.
- Hike & Fly 2014-10-24T07:21:40Z vicino a Creggio, distanza 8.59km, ascesa + 1512, TrailRank 29. 
Se desideri altre informazioni chiedimi più nello specifico!"
Dove posso andare per fare una bella escursione?,"Se stai organizzando un'escursione in provincia di Torino ti consiglio: Valli di Lanzo, Val di Susa, Valchiusella, Valli Chisone e Germanasca, Val Soana, Valle Orco. 
In pronvincia di Vercelli ti consiglio: Valsesia. 
In provincia di Cuneo ti consiglio: Valle Po, Valle Maira. In provincia di Biella: Oasi Zegna. In provincia del Verbano-Cusio-Ossola: Val d'Ossola. 
Se vuoi approfondimenti, chiedimi pure!"
Mi consigli un posto dove fare un bel sentiero enduro in mountain bike? Magari qualcosa in cui abbiano fatto delle gare,"Sicuramente! L'Enduro è nato in Piemonte, due sono state le gare che, nel lontano 2007, hanno battezzato la disciplina emergente del mountain biking: Priero, in provincia di Cuneo, e Cartosio, in quella di Alessandria, infatti parliamo dell'Enduro dei 3 Fiumi. Il percorso si snoda tra le colline a cavallo tra Appennino e Monferrato, lungo lo spartiacque che separa le valli Erro e Bormida. Il panorama è caratterizzato dalle grigie macchie dei calanchi, acuti solchi e aeree creste creati dall'erosione, e dal verde dei boschi di roveri e castagni che regalano dei graditissimi tratti in ombra. Il fondo è di tipo sedimentario, antiche sabbie compattate che offrono un grip spettacolare dopo le prime sensazioni di cedevolezza. 
Ti consiglio anche le Rive Rosse, infatti l'anello delle Rive Rosse, nelle sue infinite varianti, è percorribile tutto l'anno o quasi. La versione più lunga dell'itinerario è stata sfruttata per la gara del circuito piemontese 360 Enduro nel 2014, mettendo in primo piano le discese più belle, lungo i sentieri M33 e M41."
"Vorrei passare una notte in rifugio, conosci dei posti da consigliarmi?","Se vuoi passare una notte in rifugio (e magari anche mangiare) ti consiglio: 
- La casetta del Gad, ottima pizzeria in zona Oulx
- Agriturismo Il Fiocco, se siete amanti degli gnocchi
- Agriturismo Le Miandette, per chi ha voglia di mangiare frittelle di borraggine e insalata russa
- Grande Albergo Rocciamelone, bellissimo hotel anni '20, una cugina elegante della tradizione
- Cantina degli Alpini, cucina tipica del Piemonte specializzata in carne
- Polentaria La Ramasse, troverete la polenta in tutto il suo splendore
- Trattoria La Placette, un albergo/ristorante delizioso all'interno di un borgo che prepara eccezionali gnocchi con fonduta e selvaggina in civet con polenta. A coronare tutta questa bellezza la SPA
- Agriturismo Agrifoglio, con carne e vini piemontesi
- Albergo Montagna di Luce, incantevole casa Walser immersa tra le montagne conquisgta al primo sguardo
- Trattoria Ramo Verde, con portate abbondanti
- Ristorante Montagnards, perfetto per merende, cene
- Reis Cibo Libero di Montagna, cucina etica e sostenibile nel rispetto del territorio e dei lavoratori
- Cantina Alpina, sapori sani di grani antichi all'interno di mura altrettanto antiche
- Chalet sul lago, in una parola romanticismo
- Mulìn Turcìn, un vecchio mulino in mezzo al bosco ristrutturato in ogni minimo dettaglio. 
Altri posti sono in provincia di Cuneo, se vuoi approfondimenti chiedimi pure!"
Mi sai dire qualcosa sulle escursioni in provincia di Torino?,"Certamente! Per una bella escursione in provincia di Torino ti consiglio: 
- Valli di Lanzo, sono valli chiuse, non hanno infatti dei facili valichi alpini di collegamento con la Francia e con il resto del Piemonte. Le escursione da fare qui sono davvero tante, per esempio 
        - il Lago di Afframont, lo si raggiunge in circa 1h e 30min di camminata. L'escursione avviene su un sentiero. 
        - Rifugio Gastaldi lo si raggiunge in circa 2h e 15 minuti. Il sentiero prende subito quota e si sviluppa in salita costante con diversi tornanti a tratti abbastanza ripidi. 
        - Lago della Rossa, si trova a quota 2718 m, l'escursione per il primo tratto è su strada asfaltata e poi su sterrata, molto panoramica e con diversi tornanti, ed è parecchio lunga! 
        - Santuario di Santa Cristina: si trova a quota 1340 m. 
- Val di Susa, qua troverai: 
        - Cima del Rocciamelone, che si trova a quota 3538 m
        - Cima Rocca Sella, è un punto panoramico a quota 1508m
        - Il Lago Verde in Valle Stretta a Bardonecchia, è un piccolo specchio d'acqua color smeraldo immerso in un suggestivo bosco di larici. 
- Valchiusella, dove troverai 
        - l'Anello delle Borgate Fondo, Tissone, Tallorno, è un anello della durata di circa 2h. Il punto più elevato che si raggiunge è Tissone a quota 1307 m. 
        - Sentiero delle Anime. Anello da Traversella: è un percorso autoguidato che permette di andare alla scoperta di rocce con incisioni rupestri molto particolari e uniche nel loro genere. 
- Valli Chisone e Germanasca: qui troverai 
        - l'Anello del 13 laghi che ha come punto di partenza Ghigo di Prali, in Val Germanasca, e avviene su vecchie mulattiere militari lungo un percorso facile che alterna tratti in piano ad altri in saliscendi mai troppo faticosi. 
        - Punta Aquila dall'Alpe Colombino: il percorso non presenta grandi difficoltà in quanto si sviluppa quasi totalmente su strada serrata, tranne l'ultimo tratto in cui si cammina lungo un tracciato in cresta un po' esposto. 
- Val Soana: se vuoi fare un'immersione totale nella natura dovrai andare a:
        - Santuario di San Besso: a quota 2019 m ha una particolarità ossia essere incastonato nella roccia. Durata di circa 1h e 45 minuti, inizialmente percorrendo una strada sterrata che sale dolcemente e successivamente un sentiero a tratti piuttosto ripido tra pinete e pietrai.
- Valle Orco: 
        - Dal Lago di Telaccio al Rifugio Pontese, escursione facile e poco impegnativa. 
        - Laghi Bellagarda: l'escursione avviene in circa in 2h e 40 minuti. 
        - Borgate del Vallone del Roc a Noasca: escursione completa alla cascata dura  all'incirca 1h e 30min. 
        - Colle della Terra: si trova a quota 2922m, il sentiero che si percorre fa  parte della rete di mulattiere reali, fatte costruire da Re Vittorio Emanuele  II. Si percorre, per il primo tratto, un sentiero ampio e ben lastricato che si snoda con leggeri e costanti saliscendi che lo rendono piacevole e dolce."
Mi sai dire quali sono le valli del Piemonte con un bel panorama?,"Certamente! Ti consiglio: 
- Val Varaita, in provincia di Cuneo e si estende per circa 70 chilometri
- Valle Vigezzo, è una delle sette valli che si diramano dalla Val d'Ossola
- Valle Orco, si estende da Pont Canavese e arriva sino al Colle del Nivolet, dove il Piemonte confina con la Valle d'Aosta
- Val Chisone, è una meta ideale per diverse tipologie di viaggiatori
- Valli di Lanzo, che sono diventate un'ambita zona di villeggiatura per i signorotti che da Torino venivano qui
- Val Soana, è poco frequentata, ma la rende ancora più unica
- Valle Maira, prende il nome dall'omonimo torrente che la attraversa."
Mi sai consigliare un skypark in provincia di Cuneo?,"Sicuramente! Ti consiglio Mondolè Ski con Prato Nevoso e Artesina e Limone Piemonte, che è nei pressi del Colle Tenda, sulla via che porta da Cuneo verso Ventimiglia, è una delle migliori ski area piemontesi con 17 impianti che servono 41 piste per ogni esigenza. Come tutte le località del sud Piemonte, la ""Riserva Bianca"" è solitamente molto nevosa con 80 kilometri di piste che si spingono fino a oltre 2000 metri. Se vuoi altre informazioni sui luoghi chiedimi pure!"
Mi sai dire se c'è un bike park in provincia di Biella?,"Certo! Ci sono diversi bike park in Piemonte, te ne elenco alcuni dei più famosi:
-Bike Park Alta Langa: E’ un bike park che non ha seggiovie, quindi le risalite sono pedalate. Il fulcro è Rocchetta Belbo nell’omonima valle del ume Belbo. Offre una rete di sentieri completamente naturali e di diverse difficoltà
-Bike Park Il Falchetto in Alta Langa: Secondo Bike Park in Piemonte nell’alta Langa, in zona Santo Stefano Belbo. Questo bike park è curato da un trail builder famoso in
zona, chiamato Igor Saracco. Tanti trail da provare, come il suo vicino park, non presenta impianti di risalita, ma nel 2022 è previsto un
progetto sempre dallo stesso Igor di Shuttle.
-Bike Park Prato Nevoso: Prato nevoso è famoso in primis come stazione sciistica, ma negli ultimi anni il suo bike park è entrato di diritto nelle Top Ten in Piemonte. Il Bike Park si sviluppa nella Conca ed è adatto a tutti (anche e soprattutto ai più piccoli), con i suoi dolci pendii e i 3 sentieri disegnati da trailbuilder esperti che vi garantiranno divertimento assicurato in totale sicurezza, risalendo comodamente con la seggiovia 4 posti. Unico piccolo svantaggio è avere tutte le discese esposte al sole, senza neanche un albero: nello stesso tempo è un grande vantaggio perchè si è più rilassati nel provare i salti (tutti copiati) senza avere l’angoscia di sbagliare la traiettoria ed abbracciare un albero. Il bikepark offre baite sui percorsi, lavaggio per le biciclette in conca, Bag Jump e Pump track gratuite nella zona della Conca! Apertura dal 15 giugno al 15 settembre tutti i week end. Tutto luglio anche il mercoledì e venerdì, mentre da Agosto aperti tutti i giorni fino al 1 Settembre
-Bike Park Viola St.Gree: piccola stazione sciistica nel basso piemonte che punta molto sul rilancio per la sua rete di discese, ben 4, con gradi di di difficoltà diverse. Il grosso vantaggio è avere i suoi single track prevalentemente sotto bosco e in estate rende le discese più fresche. Apertura nel periodo estivo, consulta il sito web
- Bike Park Pogno: è situato nel Nord del Piemonte di preciso vicino al Lago d’Orta. Come per il Bike Park Alta Langa, anche questo prevede la risalita pedalata. Discese non sempre facili soprattutto se è la prima volta: presenta molti tratti ripidi e quindi bisogna essere già bravi nel fuori sella e nella tecnica di guida. Spero di averti fornito tutti i dati che stavi cercando per permetterti di fare una buona scelta"
